dataset,participant_id,case_segment,corruption,severity,seed,method,mae,rmse,retention,long_hallucination,short_recovery,movement_preservation,stable_preservation,unstable_repair_gain,unstable_repair_score,plausibility_score,long_safety,Q_local
Autism,52,Autism__52__seg26,long_gap,low,4,STRATUS-H,8.144677476610596,19.052534618737717,0.9207920792079208,0.0,,0.7748906225492967,0.7664670658682635,,,0.9435483870967742,1.0,0.8471192294725199
Autism,52,Autism__52__seg26,jitter,low,4,Pointwise-D,2.5952297416347854,10.850920339142244,1.0,,,0.8996153213932042,0.945945945945946,0.0,0.0,0.948019801980198,,0.6151870891130501
Autism,52,Autism__52__seg26,jitter,low,4,STRATUS-D,2.001796027922143,7.58009998806476,1.0,,,0.9590381427015424,0.945945945945946,0.0,0.0,0.948019801980198,,0.6349946962158294
Autism,52,Autism__52__seg26,jitter,low,4,Hybrid-P,9.95332614243203,20.6981922286999,1.0,,,0.7655781496820443,0.7117117117117117,-0.2463351939056486,0.0,0.948019801980198,,0.4924299537979186
Autism,52,Autism__52__seg26,jitter,low,4,STRATUS-H,10.445644295615129,21.15990712599297,1.0,,,0.7380514965728467,0.7087087087087087,-0.3489593714011536,0.0,0.948019801980198,,0.4822534017605185
Autism,52,Autism__52__seg26,spike,low,4,Pointwise-D,2.375779940665778,18.64790865548332,1.0,,,0.9604454954879194,0.9495798319327732,0.8239612860769097,0.8239612860769097,0.948019801980198,,0.9113288711658672
Autism,52,Autism__52__seg26,spike,low,4,STRATUS-D,4.750993915240445,39.78207686714018,1.0,,,0.9604454954879194,0.9495798319327732,0.4549868159570636,0.4549868159570636,0.948019801980198,,0.7883373811259187
Autism,52,Autism__52__seg26,spike,low,4,Hybrid-P,10.102778485726343,22.071422705453724,1.0,,,0.7353957205820536,0.7058823529411765,0.9720247526166466,0.9720247526166466,0.948019801980198,,0.8044342753799589
Autism,52,Autism__52__seg26,spike,low,4,STRATUS-H,9.820306686416805,21.85646719468215,1.0,,,0.7196778616659343,0.7254901960784313,0.9720247526166466,0.9720247526166466,0.948019801980198,,0.805730936787004
Autism,52,Autism__52__seg26,mixed,low,4,Pointwise-D,5.507981423514334,30.119963410651817,0.9207920792079208,0.0,1.0,0.95614071839127,0.9375,0.6676310330792617,0.6676310330792617,0.9435483870967742,1.0,0.9122543502941064
